id,x0,x1,len,clasteId,pointType,timeToCalcNeighbours,# distance calc,len(rnnk),kNN,reverskNN,NDF
p0,660.976,304.225,727.628,1,1,7.08653,3031,0,[,],[,],[,p2;p3;p6;p7;],
p1,636.213,306.174,706.052,1,1,5.25253,3031,0,[,],[,],[,p4;p5;p10;p12;],
p2,662.753,307.565,730.642,1,1,5.4377,3031,0,[,],[,],[,p0;p3;p6;p7;p8;p9;p11;p15;],
p3,657.487,307.74,725.943,1,1,5.55258,3031,0,[,],[,],[,p0;p2;p6;p7;p9;p15;],
p4,635.273,308.157,706.068,1,1,5.24656,3031,0,[,],[,],[,p1;p5;p10;p12;p13;p17;p19;],
p5,640.484,309.592,711.384,1,1,5.24427,3031,0,[,],[,],[,p1;p4;p9;p10;p12;p13;p17;p19;p21;],
p6,660.523,309.613,729.487,1,1,5.28826,3031,0,[,],[,],[,p0;p2;p3;p7;p8;p9;p11;p15;],
p7,658.759,312.594,729.163,1,1,7.26467,3031,0,[,],[,],[,p0;p2;p3;p6;p8;p9;p11;p15;p20;p24;],
p8,674.821,315.093,744.76,1,1,5.40917,3031,0,[,],[,],[,p2;p6;p7;p11;p18;p22;p25;p26;p29;],
p9,649.17,316.174,722.072,1,1,5.53653,3031,0,[,],[,],[,p2;p3;p5;p6;p7;p12;p13;p15;p19;p20;p21;p23;p24;p28;p30;p31;p32;],
p10,631.858,316.908,706.877,1,1,5.33183,3031,0,[,],[,],[,p1;p4;p5;p12;p13;p14;p16;p17;p19;p21;p23;p27;],
p11,673.506,317.648,744.655,1,1,5.25132,3031,0,[,],[,],[,p2;p6;p7;p8;p18;p22;p25;p26;p29;p33;p34;p35;],
p12,637.439,318.289,712.486,1,1,5.24074,3031,0,[,],[,],[,p1;p4;p5;p9;p10;p13;p14;p16;p17;p19;p21;p23;p27;p28;p32;p36;],
p13,644.003,320.565,719.376,1,1,5.3529,3031,0,[,],[,],[,p4;p5;p9;p10;p12;p15;p17;p19;p20;p21;p23;p24;p27;p28;p31;p32;p36;p37;p40;p42;],
p14,622.679,320.843,700.478,1,1,5.25112,3031,0,[,],[,],[,p10;p12;p16;p17;p19;p27;p39;],
p15,655.504,320.916,729.844,1,1,5.42429,3031,0,[,],[,],[,p2;p3;p6;p7;p9;p13;p20;p23;p24;p25;p28;p29;p30;p31;p32;p34;p37;p38;],
p16,626.318,321.78,704.142,1,1,5.33027,3031,0,[,],[,],[,p10;p12;p14;p17;p19;p21;p27;p39;p41;],
p17,633.245,322.492,710.634,1,1,5.34521,3031,0,[,],[,],[,p4;p5;p10;p12;p13;p14;p16;p19;p21;p23;p27;p28;p32;p36;p39;p41;p42;],
p18,678.36,323.472,751.536,1,1,5.27215,3031,0,[,],[,],[,p8;p11;p22;p25;p26;p29;p33;p34;p35;p43;],
p19,637.081,323.619,714.564,1,1,5.45465,3031,0,[,],[,],[,p4;p5;p9;p10;p12;p13;p14;p16;p17;p20;p21;p23;p24;p27;p28;p31;p32;p36;p37;p40;p41;p42;],
p20,653.079,324.434,729.225,1,1,5.41147,3031,0,[,],[,],[,p7;p9;p13;p15;p19;p21;p23;p24;p25;p28;p29;p30;p31;p32;p34;p36;p37;p38;p40;],
p21,639.035,324.523,716.715,1,1,5.29529,3031,0,[,],[,],[,p5;p9;p10;p12;p13;p16;p17;p19;p20;p23;p24;p27;p28;p31;p32;p36;p37;p40;p41;p42;],
p22,680.978,324.669,754.414,1,1,5.25634,3031,0,[,],[,],[,p8;p11;p18;p25;p26;p29;p33;p34;p35;p43;p45;p48;],
p23,644.647,325.905,722.346,1,1,5.39677,3031,0,[,],[,],[,p9;p10;p12;p13;p15;p17;p19;p20;p21;p24;p27;p28;p30;p31;p32;p36;p37;p40;p41;p42;p44;],
p24,652.268,326.389,729.372,1,1,7.31471,3031,0,[,],[,],[,p7;p9;p13;p15;p19;p20;p21;p23;p25;p28;p29;p30;p31;p32;p34;p36;p37;p38;p40;p42;p44;],
p25,665.755,327.567,741.977,1,1,5.27532,3031,0,[,],[,],[,p8;p11;p15;p18;p20;p22;p24;p26;p29;p30;p31;p34;p38;p43;p52;],
p26,675.27,327.608,750.544,1,1,5.23599,3031,0,[,],[,],[,p8;p11;p18;p22;p25;p29;p30;p33;p34;p35;p38;p43;p45;p48;p53;],
p27,631.213,327.95,711.323,1,1,5.25795,3031,0,[,],[,],[,p10;p12;p13;p14;p16;p17;p19;p21;p23;p28;p32;p36;p39;p40;p41;p42;p49;],
p28,643.6,328.542,722.607,1,1,5.27459,3031,0,[,],[,],[,p9;p12;p13;p15;p17;p19;p20;p21;p23;p24;p27;p30;p31;p32;p36;p37;p40;p41;p42;p44;p50;],
p29,668.535,329.06,745.131,1,1,5.38213,3031,0,[,],[,],[,p8;p11;p15;p18;p20;p22;p24;p25;p26;p30;p33;p34;p35;p38;p43;p52;p53;],
p30,658.985,329.159,736.619,1,1,5.28274,3031,0,[,],[,],[,p9;p15;p20;p23;p24;p25;p26;p28;p29;p31;p32;p34;p37;p38;p40;p43;p44;p52;],
p31,651.423,329.337,729.942,1,1,5.28849,3031,0,[,],[,],[,p9;p13;p15;p19;p20;p21;p23;p24;p25;p28;p30;p32;p34;p36;p37;p38;p40;p42;p44;],
