id,x0,x1,len,clasteId,pointType,timeToCalcNeighbours,# distance calc,len(rnnk),kNN,reverskNN,NDF
A,4.2,4,5.8,1,0,0.029778,12,0,[,],[,],[,B;C;],
B,5.9,3.9,7.07248,-1,-1,0.025784,12,0,[,],[,],[,A;],
C,2.8,3.5,4.48219,1,1,0.026996,12,0,[,],[,],[,A;F;H;],
D,12,1.3,12.0702,2,1,0.027434,12,0,[,],[,],[,E;I;J;],
E,10,1.3,10.0841,2,1,0.028796,12,0,[,],[,],[,D;I;J;],
F,1.1,3,3.19531,1,0,0.026771,12,0,[,],[,],[,C;G;],
G,0,2.4,2.4,-1,-1,0.025137,12,0,[,],[,],[,F;],
H,2.4,2,3.1241,1,0,0.025828,12,0,[,],[,],[,C;],
I,11.5,1.8,11.64,2,1,0.028979,12,0,[,],[,],[,D;E;J;],
J,11,1,11.0454,2,1,0.027801,12,0,[,],[,],[,D;E;I;],
K,0.9,0,0.9,-1,-1,0.024932,12,0,[,],[,],[,],
L,1,1.5,1.80278,-1,-1,0.026044,12,0,[,],[,],[,],
