p14314,1,0,1,0,0,2,1,5,4,1,2,5,0,8,0,8,[p1579;p7262;p1010;p7661;p14381;p13723;],0,14.3527
p1579,1,0,1,0,0,2,2,5,4,1,2,5,0,8,0,8,[p1010;p7262;p7661;p14381;p13723;],2,14.4568
p1074,1,0,1,0,0,2,1,6,4,0,3,4,0,8,0,8,[p14220;p10282;p6675;p11731;],4,14.5602
p14220,1,0,1,0,0,2,1,6,4,0,3,4,0,8,0,8,[p1074;p10282;p6675;p11731;],4,14.5602
p10282,1,0,1,0,0,2,1,6,4,0,3,4,0,8,0,8,[p1074;p14220;p6675;p11731;],4,14.5602
p6675,1,0,1,0,0,2,1,6,4,0,3,4,0,8,0,8,[p1074;p14220;p10282;p11731;],4,14.5602
p9855,1,0,1,0,0,2,2,5,4,1,3,5,0,8,0,8,[p1579;p1010;p7262;p7661;p14381;p13723;],0,14.6287
p3250,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,8,[p10445;p6590;p9107;p17500;p13447;],3,14.6629
p10445,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,8,[p3250;p6590;p9107;p17500;p13447;],3,14.6629
p6590,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,8,[p3250;p10445;p9107;p17500;p13447;],3,14.6629
p14111,1,0,2,1,0,2,1,6,4,0,3,4,0,8,0,8,[p4725;p4201;p450;p17204;],3,14.6969
p7451,2,3,2,2,1,4,3,4,6,2,2,5,0,7,0,6,[p6796;p15724;p7332;p17393;],3,14.7309
p14774,2,0,2,1,0,2,0,6,4,0,3,4,0,8,0,8,[p7315;p11320;p14111;p13013;p13871;],2,14.7648
p11320,2,0,2,1,0,2,0,6,4,0,3,4,0,8,0,8,[p7315;p14774;p14111;p13013;p13871;],2,14.7648
p9107,1,0,2,1,0,2,1,5,5,0,2,5,0,8,0,8,[p17500;p13447;p3250;p10445;p6590;],3,14.7648
p11731,1,0,1,0,0,3,1,6,4,1,3,4,0,8,0,8,[p1074;p14220;p10282;p6675;],4,14.7648
p7315,2,0,2,1,0,2,0,6,4,0,3,4,0,8,0,8,[p11320;p14774;p14111;p13013;p13871;],2,14.7648
p9974,0,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p5728;p7661;p7262;p1010;p13723;p14381;],1,14.7986
p5728,0,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p9974;p7661;p7262;p1010;p13723;p14381;],1,14.7986
p13952,1,0,1,1,0,1,1,5,5,0,1,6,0,8,0,8,[p16637;p2938;p6704;p1328;p12696;],5,14.8324
p13723,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p1010;p7262;p7661;p14381;],12,14.8324
p14381,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p1010;p7262;p7661;p13723;],12,14.8324
p450,1,0,2,1,0,2,1,6,4,0,2,5,0,8,0,8,[p4725;p13447;p17500;p4201;p17204;],4,14.8324
p15429,2,1,3,2,1,4,3,5,6,2,3,4,1,7,0,6,[p3633;p6747;p10497;p18998;],3,14.8324
p4725,1,0,2,1,0,2,1,6,4,0,2,5,0,8,0,8,[p450;p13447;p17500;p4201;p17204;],4,14.8324
p7661,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p1010;p7262;p14381;p13723;],12,14.8324
p7262,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p1010;p7661;p14381;p13723;],12,14.8324
p4201,1,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8,[p17204;p13447;p17500;p13013;p13871;],8,14.8324
p17204,1,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8,[p4201;p13447;p17500;p13013;p13871;],8,14.8324
p1010,1,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,[p7262;p7661;p14381;p13723;],12,14.8324
p2938,1,0,1,1,0,1,1,5,5,0,1,6,0,8,0,8,[p13952;p16637;p6704;p1328;p12696;],5,14.8324
p16637,1,0,1,1,0,1,1,5,5,0,1,6,0,8,0,8,[p13952;p2938;p6704;p1328;p12696;],5,14.8324
p17393,2,3,2,1,1,4,4,4,6,2,2,5,1,7,1,6,[p15493;p7332;p15724;p7451;],3,14.9332
p13013,2,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8,[p13871;p4201;p17204;p16758;],7,14.9332
p13871,2,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8,[p13013;p4201;p17204;p16758;],7,14.9332
p12696,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8,[p6704;p1328;p13952;p16637;p2938;p1010;p7262;p7661;p14381;p13723;],5,15.0665
p14830,1,1,3,2,1,6,2,2,1,6,2,7,1,6,2,6,[p8189;p19633;p8719;p3445;],1,15.0665
p1328,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8,[p6704;p12696;p13952;p16637;p2938;p1010;p7262;p7661;p14381;p13723;],5,15.0665
p6704,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8,[p1328;p12696;p13952;p16637;p2938;p1010;p7262;p7661;p14381;p13723;],5,15.0665
p19660,2,1,3,3,1,5,2,6,7,1,3,2,1,7,1,5,[p16708;p6747;p15429;p3633;],1,15.0997
p13447,1,0,2,1,0,2,1,6,5,0,2,5,0,8,0,8,[p17500;p17204;p4201;p4725;p450;],10,15.1327
p17500,1,0,2,1,0,2,1,6,5,0,2,5,0,8,0,8,[p13447;p17204;p4201;p4725;p450;],10,15.1327
p3633,2,2,3,3,1,4,3,5,6,2,2,5,1,7,0,6,[p15429;p10159;p10497;p7451;],2,15.2315
p6747,2,1,2,2,1,5,3,5,7,2,2,4,1,7,1,6,[p10497;p15429;p15493;p6796;],3,15.2643
p15972,2,1,2,3,1,4,4,4,6,2,2,6,0,7,1,6,[p18998;p4689;p6273;p10497;],3,15.2643
p16758,2,1,2,1,0,2,1,6,5,0,2,5,0,8,0,8,[p13447;p17500;p13013;p13871;],2,15.2643
p18998,2,1,2,2,1,4,4,5,6,2,2,6,1,7,1,6,[p10497;p15972;p4689;p10159;],3,15.4272
p4689,2,1,2,2,1,4,4,4,7,2,1,6,0,7,1,6,[p17508;p3356;p6273;p15972;],5,15.4272
p6796,2,3,2,2,1,4,3,5,7,2,2,5,0,7,1,6,[p9953;p7332;p15724;p7451;],5,15.4919
p17180,1,3,2,2,1,5,4,4,6,3,3,5,1,7,1,6,[p15493;p17393;p16198;p15724;p7332;],1,15.5563
p15493,2,3,2,2,1,5,4,5,6,2,2,5,1,7,1,6,[p17393;p15904;p17180;p6796;],4,15.6205
p10497,2,1,2,3,1,4,4,5,7,2,2,5,1,7,1,6,[p18998;p10159;p6747;p15972;],5,15.6525
p9953,2,3,2,2,1,4,3,4,8,2,2,5,0,7,1,6,[p6796;p7332;p15724;p17789;],3,15.6844
p11440,3,5,3,3,2,4,3,5,6,2,2,5,1,6,0,6,[p13804;p825;p15652;p16440;],2,15.748
p2515,1,3,2,1,1,6,2,1,1,6,2,8,1,6,1,7,[p1778;p17705;p19682;p112;],4,15.7797
p7332,2,3,2,2,1,4,4,4,7,2,2,6,0,7,1,6,[p15724;p17789;p3403;p9953;],10,15.7797
p17705,2,3,3,1,1,6,2,2,1,5,2,8,1,6,1,7,[p19682;p112;p2515;p9959;],3,15.7797
p15724,2,3,2,2,1,4,4,4,7,2,2,6,0,7,1,6,[p7332;p17789;p3403;p9953;],10,15.7797
p18004,2,2,3,4,2,4,4,5,7,2,2,5,1,6,1,6,[p12589;p10159;p13846;p8607;],3,15.8114
p6273,2,2,3,3,1,4,4,4,7,2,1,6,0,7,1,6,[p11261;p5094;p11536;p4049;],7,15.843
p825,3,4,3,3,2,4,3,4,6,2,2,6,0,7,0,6,[p3403;p11440;p16440;p16467;],1,15.906
p17789,2,3,3,2,1,4,4,4,7,2,2,6,0,7,1,6,[p7332;p15724;p3403;p6273;],5,15.9374
p9959,2,3,4,2,1,6,2,2,2,5,2,8,2,6,2,6,[p4148;p19578;p13151;p1994;],6,15.9687
p11536,2,2,3,3,2,4,4,4,7,2,1,6,1,7,1,6,[p4049;p3848;p10159;p11261;],5,15.9687
p7339,2,2,2,4,1,0,1,5,6,0,0,6,0,8,0,8,[p16309;p17142;p13811;p14049;p6569;],2,15.9687
p13846,3,2,4,3,2,4,4,5,7,2,2,5,1,6,1,6,[p8607;p18004;p3848;p10159;],3,15.9687
p4049,2,2,3,3,2,4,4,4,7,2,1,6,1,7,1,6,[p11536;p3848;p10159;p11261;],5,15.9687
p16467,2,5,2,3,1,4,3,3,7,2,2,6,0,7,0,6,[p16440;p13950;p3403;p3920;],2,15.9687
p4148,2,2,4,3,1,6,2,2,2,5,2,8,2,6,2,6,[p13151;p9959;p1994;p14283;],5,15.9687
p112,1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,[p17705;p9959;p2515;p19578;],2,16.0312
p5094,2,2,3,3,1,4,4,3,7,2,1,7,0,7,1,6,[p6273;p5858;p5663;p13809;],5,16.0312
