p0,539.512024,411.975006
p1,542.241028,147.626007
p2,653.468994,370.727997
p3,598.585999,284.882996
p4,573.062988,294.562988
p5,139.570007,401.381012
p6,228.970001,281.992004
p7,305.747009,94.350998
p8,610.617004,167.190002
p9,500.450012,118.780998
p10,341.804993,361.755005
p11,128.582993,81.598999
p12,39.105,381.265991
p13,294.911987,421.480011
p14,189.214005,322.730011
p15,251.889008,69.384003
p16,116.098999,296.382996
p17,86.839996,307.89801
p18,509.272003,429.165985
p19,90.306999,73.486
p20,269.270996,163.341995
p21,137.112,289.688995
p22,63.613998,406.865997
p23,224.473007,92.762001
p24,345.226013,306.391998
p25,188.507996,282.093994
p26,531.218994,468.524994
p27,47.276001,338.063995
p28,543.882019,319.738007
p29,379.937988,97.189003
p30,84.786003,158.792007
p31,542.72998,307.096008
p32,430.753998,387.63501
p33,578.630005,455.946991
p34,374.859009,346.17099
p35,185.274002,91.510002
p36,561.465027,397.192993
p37,164.585999,286.822998
p38,131.626999,166.382004
p39,377.093994,66.892998
p40,386.608002,289.194
p41,531.517029,393.152008
p42,157.626999,205.548004
p43,181.292999,148.632996
p44,496.5,219.106995
p45,596.487,299.589996
p46,545.252991,396.721985
p47,388.901001,386.545013
p48,512.94397,271.19101
p49,589.398987,453.752991
p50,310.587006,434.139008
p51,228.186005,404.265991
p52,506.63501,61.938
p53,90.807999,151.570999
p54,506.355988,340.463989
p55,253.466995,414.664001
p56,572.642029,309.684998
p57,456.951996,309.30899
p58,656.77301,117.589996
p59,99.839996,113.858002
p60,536.731018,342.661987
p61,563.982971,190.306
p62,320.544006,334.019012
p63,129.748001,415.173004
p64,564.97699,405.80899
p65,626.16803,325.358002
p66,170.098007,278.631989
p67,243.063004,441.615997
p68,441.855988,166.511993
p69,641.458008,402.427002
p70,165.677002,258.368011
p71,615.776001,123.528999
p72,47.348,173.026993
p73,286.177002,342.243988
p74,42.349998,154.636002
p75,163.807999,359.445007
p76,148.070007,264.644989
p77,473.192993,318.136993
p78,110.273003,148.951004
p79,154.587997,342.123993
p80,216.731003,284.403015
p81,188.031006,106.501999
p82,626.596985,408.743011
p83,145.341003,168.382004
p84,617.981018,186.985001
p85,223.218002,98.852997
p86,646.952026,121.884003
p87,613.054993,198.557007
p88,217.100006,353.244995
p89,238.944,336.570007
p90,476.220001,155.419998
p91,169.203995,62.771
p92,21.128,311.597992
p93,75.241997,182.811005
p94,353.394989,417.424011
p95,129.201004,68.598
p96,170.356995,371.300995
p97,320.928009,424.826996
p98,516.401978,86.344002
p99,359.776001,423.584015
p100,638.393982,86.559998
p101,150.483002,75.369003
p102,600.05603,427.462006
p103,547.299988,454.506012
p104,135.699997,272.295013
p105,369.291992,363.919006
p106,127.582001,87.001999
p107,558.185974,327.880005
p108,297.020996,261.791992
p109,160.970993,335.471008
p110,228.677002,408.656006
p111,303.339996,79.885002
p112,199.936996,144.559998
p113,126.147003,426.477997
p114,536.09198,243.266998
p115,211.455994,169.444
p116,628.419006,173.817001
p117,555.273987,280.162994
p118,284.822998,433.441986
p119,205.843994,156.134995
p120,252.940002,342.634003
p121,289.777008,85.092003
p122,161.942001,107.855003
p123,678.869995,439.984985
p124,668.520996,441.214996
p125,496.812988,353.347992
p126,473.494995,40.794998
p127,136.164993,234.908997
p128,331.536987,277.278992
p129,227.753998,161.722
p130,29.653999,94.833
p131,59.145,134.664993
p132,567.411011,281.058014
p133,345.661011,333.121002
p134,410.20401,399.162994
p135,427.972992,313.82901
p136,544.440979,446.593994
p137,199.862,417.181
p138,314.30899,322.428986
p139,50.758999,82.452003
p140,584.98999,401.860992
p141,435.265991,158.348999
p142,43.442001,345.700989
