Id,x0,x1,claserId,pointType,dist,
K,0.9,0,-1,-1,|,L=0.71519,G=1,H=0.743163,K=0,L=0.71519,G=1,H=0.743163,F=0.901296,K=0,L=0.71519,H=0.743163,C=0.862894,K=0,L=0.71519,H=0.743163,A=0.876753,K=0,L=0.71519,H=0.743163,B=0.883348,K=0,L=0.71519,H=0.743163,E=0.903743,K=0,L=0.71519,H=0.743163,J=0.91232,K=0,L=0.71519,H=0.743163,I=0.917825,K=0,L=0.71519,H=0.743163,D=0.920413,K=0,L=0.71519,H=0.743163,|,
L,1,1.5,1,1,|,G=0.334566,K=0.71519,H=0.290407,K=0.71519,G=0.334566,K=0.71519,H=0.290407,F=0.287532,K=0.71519,H=0.290407,G=0.334566,F=0.287532,C=0.473512,K=0.71519,F=0.287532,H=0.290407,|,
G,0,2.4,1,0,|,L=0.334566,H=0.552239,F=0.179019,K=1,L=0.334566,H=0.552239,F=0.179019,C=0.518625,K=1,F=0.179019,L=0.334566,A=0.677852,K=1,F=0.179019,L=0.334566,|,
H,2.4,2,1,1,|,F=0.237423,G=0.552239,C=0.149411,L=0.290407,F=0.237423,G=0.552239,C=0.149411,L=0.290407,A=0.28594,K=0.743163,C=0.149411,F=0.237423,|,
F,1.1,3,1,1,|,H=0.237423,G=0.179019,F=0,L=0.287532,G=0.179019,H=0.237423,C=0.187799,K=0.901296,G=0.179019,H=0.237423,C=0.187799,A=0.389644,K=0.901296,G=0.179019,C=0.187799,|,
C,2.8,3.5,1,1,|,F=0.187799,A=0.0790132,B=0.244617,H=0.149411,A=0.0790132,F=0.187799,H=0.149411,E=0.635212,G=0.518625,A=0.0790132,H=0.149411,|,
A,4.2,4,1,1,|,B=0.0670055,C=0.0790132,E=0.464428,F=0.389644,B=0.0670055,C=0.0790132,|,
B,5.9,3.9,1,0,|,A=0.0670055,C=0.244617,B=0,F=0.567317,A=0.0670055,C=0.244617,E=0.268941,H=0.419355,A=0.0670055,C=0.244617,J=0.333463,G=0.798363,A=0.0670055,C=0.244617,I=0.323301,L=0.717004,A=0.0670055,C=0.244617,D=0.366906,K=0.883348,A=0.0670055,C=0.244617,|,
E,10,1.3,-1,-1,|,J=0.00969837,I=0.0208611,D=0.0318243,E=3.33067e-16,J=0.00969837,I=0.0208611,D=0.0318243,B=0.268941,J=0.00969837,I=0.0208611,|,
J,11,1,2,1,|,I=0.00688908,E=0.00969837,D=0.00811072,B=0.333463,I=0.00688908,E=0.00969837,D=0.00811072,D=0.00811072,A=0.5239,I=0.00688908,D=0.00811072,D=0.00811072,C=0.681789,I=0.00688908,D=0.00811072,D=0.00811072,F=0.871061,I=0.00688908,D=0.00811072,D=0.00811072,H=0.725232,I=0.00688908,D=0.00811072,D=0.00811072,G=0.980855,I=0.00688908,D=0.00811072,D=0.00811072,L=0.889135,I=0.00688908,D=0.00811072,D=0.00811072,K=0.91232,I=0.00688908,D=0.00811072,|,
I,11.5,1.8,2,1,|,D=0.00355013,J=0.00688908,D=0.00355013,E=0.0208611,D=0.00355013,J=0.00688908,D=0.00355013,B=0.323301,D=0.00355013,J=0.00688908,D=0.00355013,A=0.511573,D=0.00355013,J=0.00688908,D=0.00355013,C=0.671165,D=0.00355013,J=0.00688908,D=0.00355013,F=0.858598,D=0.00355013,J=0.00688908,D=0.00355013,H=0.726436,D=0.00355013,J=0.00688908,D=0.00355013,G=0.968451,D=0.00355013,J=0.00688908,D=0.00355013,L=0.88598,D=0.00355013,J=0.00688908,D=0.00355013,K=0.917825,D=0.00355013,J=0.00688908,|,
D,12,1.3,2,1,|,I=0.00355013,J=0.00811072,D=4.44089e-16,E=0.0318243,I=0.00355013,J=0.00811072,D=4.44089e-16,B=0.366906,I=0.00355013,J=0.00811072,D=4.44089e-16,A=0.550634,I=0.00355013,J=0.00811072,D=4.44089e-16,C=0.701089,I=0.00355013,J=0.00811072,D=4.44089e-16,F=0.876801,I=0.00355013,J=0.00811072,D=4.44089e-16,H=0.746876,I=0.00355013,J=0.00811072,D=4.44089e-16,G=0.978966,I=0.00355013,J=0.00811072,D=4.44089e-16,L=0.896659,I=0.00355013,J=0.00811072,D=4.44089e-16,K=0.920413,I=0.00355013,J=0.00811072,|,
