Id,x0,x1,clasterId,pointType,#dist,
p0,539.512,411.975,1,1,10000
p1,542.241,147.626,2,1,10000
p2,653.469,370.728,1,1,10000
p3,598.586,284.883,1,1,10000
p4,573.063,294.563,1,1,10000
p5,139.57,401.381,3,1,10000
p6,228.97,281.992,4,1,10000
p7,305.747,94.351,5,1,10000
p8,610.617,167.19,1,1,10000
p9,500.45,118.781,2,1,10000
p10,341.805,361.755,6,1,10000
p11,128.583,81.599,-1,-1,10000
p12,39.105,381.266,3,1,10000
p13,294.912,421.48,3,1,10000
p14,189.214,322.73,7,1,10000
p15,251.889,69.384,-1,-1,10000
p16,116.099,296.383,8,1,10000
p17,86.84,307.898,-1,-1,10000
p18,509.272,429.166,1,1,10000
p19,90.307,73.486,-1,-1,10000
p20,269.271,163.342,9,1,10000
p21,137.112,289.689,10,1,10000
p22,63.614,406.866,3,1,10000
p23,224.473,92.762,-1,-1,10000
p24,345.226,306.392,6,1,10000
p25,188.508,282.094,11,1,10000
p26,531.219,468.525,-1,-1,10000
p27,47.276,338.064,43,0,10000
p28,543.882,319.738,1,1,10000
p29,379.938,97.189,-1,-1,10000
p30,84.786,158.792,-1,-1,10000
p31,542.73,307.096,1,1,10000
p32,430.754,387.635,3,1,10000
p33,578.63,455.947,1,1,10000
p34,374.859,346.171,6,1,10000
p35,185.274,91.51,-1,-1,10000
p36,561.465,397.193,1,1,10000
p37,164.586,286.823,54,0,10000
p38,131.627,166.382,-1,-1,10000
p39,377.094,66.893,-1,-1,10000
p40,386.608,289.194,3,1,10000
p41,531.517,393.152,1,1,10000
p42,157.627,205.548,-1,-1,10000
p43,181.293,148.633,27,0,10000
p44,496.5,219.107,2,1,10000
p45,596.487,299.59,1,1,10000
p46,545.253,396.722,1,1,10000
p47,388.901,386.545,3,1,10000
p48,512.944,271.191,-1,-1,10000
p49,589.399,453.753,1,1,10000
p50,310.587,434.139,3,1,10000
p51,228.186,404.266,3,1,10000
p52,506.635,61.938,12,1,10000
p53,90.808,151.571,-1,-1,10000
p54,506.356,340.464,1,1,10000
p55,253.467,414.664,3,1,10000
p56,572.642,309.685,1,1,10000
p57,456.952,309.309,3,1,10000
p58,656.773,117.59,1,1,10000
p59,99.84,113.858,-1,-1,10000
p60,536.731,342.662,1,1,10000
p61,563.983,190.306,2,1,10000
p62,320.544,334.019,6,1,10000
p63,129.748,415.173,3,1,10000
p64,564.977,405.809,1,1,10000
p65,626.168,325.358,1,1,10000
p66,170.098,278.632,13,1,10000
p67,243.063,441.616,3,1,10000
p68,441.856,166.512,12,1,10000
p69,641.458,402.427,1,1,10000
p70,165.677,258.368,11,1,10000
p71,615.776,123.529,1,1,10000
p72,47.348,173.027,-1,-1,10000
p73,286.177,342.244,65,0,10000
p74,42.35,154.636,-1,-1,10000
p75,163.808,359.445,14,1,10000
p76,148.07,264.645,13,1,10000
p77,473.193,318.137,3,1,10000
p78,110.273,148.951,-1,-1,10000
p79,154.588,342.124,14,1,10000
p80,216.731,284.403,-1,-1,10000
p81,188.031,106.502,-1,-1,10000
p82,626.597,408.743,1,1,10000
p83,145.341,168.382,-1,-1,10000
p84,617.981,186.985,1,1,10000
p85,223.218,98.853,39,0,10000
p86,646.952,121.884,1,1,10000
p87,613.055,198.557,1,1,10000
p88,217.1,353.245,52,0,10000
p89,238.944,336.57,-1,-1,10000
p90,476.22,155.42,12,1,10000
p91,169.204,62.771,-1,-1,10000
p92,21.128,311.598,15,1,10000
p93,75.242,182.811,-1,-1,10000
p94,353.395,417.424,3,1,10000
p95,129.201,68.598,-1,-1,10000
p96,170.357,371.301,14,1,10000
p97,320.928,424.827,3,1,10000
p98,516.402,86.344,12,1,10000
p99,359.776,423.584,3,1,10000
p100,638.394,86.56,1,1,10000
p101,150.483,75.369,-1,-1,10000
p102,600.056,427.462,1,1,10000
p103,547.3,454.506,1,1,10000
p104,135.7,272.295,13,0,10000
p105,369.292,363.919,6,1,10000
p106,127.582,87.002,-1,-1,10000
p107,558.186,327.88,1,1,10000
p108,297.021,261.792,3,1,10000
p109,160.971,335.471,14,1,10000
p110,228.677,408.656,3,1,10000
p111,303.34,79.885,5,1,10000
p112,199.937,144.56,-1,-1,10000
p113,126.147,426.478,3,1,10000
p114,536.092,243.267,2,1,10000
p115,211.456,169.444,16,1,10000
p116,628.419,173.817,1,1,10000
p117,555.274,280.163,1,1,10000
p118,284.823,433.442,3,1,10000
p119,205.844,156.135,-1,-1,10000
p120,252.94,342.634,-1,-1,10000
p121,289.777,85.092,5,1,10000
p122,161.942,107.855,-1,-1,10000
p123,678.87,439.985,1,1,10000
p124,668.521,441.215,1,1,10000
p125,496.813,353.348,1,1,10000
p126,473.495,40.795,12,1,10000
p127,136.165,234.909,-1,-1,10000
p128,331.537,277.279,3,1,10000
p129,227.754,161.722,-1,-1,10000
p130,29.654,94.833,-1,-1,10000
p131,59.145,134.665,-1,-1,10000
p132,567.411,281.058,1,1,10000
p133,345.661,333.121,6,1,10000
p134,410.204,399.163,3,1,10000
p135,427.973,313.829,3,1,10000
p136,544.441,446.594,1,1,10000
p137,199.862,417.181,3,1,10000
p138,314.309,322.429,6,1,10000
p139,50.759,82.452,-1,-1,10000
p140,584.99,401.861,1,1,10000
p141,435.266,158.349,12,1,10000
p142,43.442,345.701,43,0,10000
p143,105.735,266.323,17,1,10000
p144,167.479,175.306,-1,-1,10000
p145,154.638,357.753,14,1,10000
p146,390.037,278.677,3,1,10000
p147,590.21,288.769,1,1,10000
p148,639.905,111.399,1,1,10000
p149,606.063,138.8,1,1,10000
p150,561.278,295.948,1,1,10000
p151,318.694,369.309,6,1,10000
p152,242.165,274.344,4,1,10000
p153,644.638,102.21,1,1,10000
