id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,len,clasteId,pointType,timeToCalcNeighbours,# distance calc,len(rnnk),kNN,reverskNN,NDF
p0,2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,24.3311,-1,-1,41.0806,20000,0,[,],[,],[,p0;],
p1,4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,26.9444,-1,-1,41.4567,20000,0,[,],[,],[,p1;],
p2,7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,29.5635,-1,-1,40.9566,20000,0,[,],[,],[,p2;],
p3,4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,27.2213,-1,-1,40.9179,20000,0,[,],[,],[,p3;],
p4,6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,26.3439,-1,-1,41.5539,20000,0,[,],[,],[,p4;],
p5,4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,26.5895,-1,-1,43.6581,20000,0,[,],[,],[,p5;],
p6,6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,28.0891,-1,-1,49.4987,20000,0,[,],[,],[,p6;],
p7,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,21.9773,-1,-1,45.5166,20000,0,[,],[,],[,p7;p6382;p16974;],
p8,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,27.1477,-1,-1,42.823,20000,0,[,],[,],[,p8;],
p9,1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,21.0476,-1,-1,42.5648,20000,0,[,],[,],[,p9;],
p10,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,26.2869,-1,-1,41.2333,20000,0,[,],[,],[,p10;],
p11,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,28.1603,-1,-1,41.4964,20000,0,[,],[,],[,p11;],
p12,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,26.4008,-1,-1,42.9801,20000,0,[,],[,],[,p12;],
p13,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,23.9165,-1,-1,42.4967,20000,0,[,],[,],[,p13;],
p14,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,29.1548,-1,-1,44.5474,20000,0,[,],[,],[,p14;],
p15,7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,30.2159,-1,-1,44.1369,20000,0,[,],[,],[,p15;],
p16,5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,28.8097,-1,-1,45.5021,20000,0,[,],[,],[,p16;],
p17,2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,24.5153,-1,-1,43.616,20000,0,[,],[,],[,p17;],
p18,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,25.6905,-1,-1,46.9746,20000,0,[,],[,],[,p18;],
p19,4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,26.6083,-1,-1,43.2723,20000,0,[,],[,],[,p19;],
p20,5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,27.6948,-1,-1,42.6936,20000,0,[,],[,],[,p20;],
p21,3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,17.6068,-1,-1,44.7688,20000,0,[,],[,],[,p21;],
p22,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,24.6374,-1,-1,46.2095,20000,0,[,],[,],[,p22;p2231;p4160;p6202;],
p23,2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,22.3159,-1,-1,41.4866,20000,0,[,],[,],[,p23;],
p24,8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,31.6702,-1,-1,41.5208,20000,0,[,],[,],[,p24;],
p25,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,28.2489,-1,-1,41.9772,20000,0,[,],[,],[,p25;],
p26,5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,24.7992,-1,-1,41.814,20000,0,[,],[,],[,p26;],
p27,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,23.0651,-1,-1,43.2181,20000,0,[,],[,],[,p27;p3157;p8831;p10997;],
p28,3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,26.4008,-1,-1,44.8153,20000,0,[,],[,],[,p28;],
p29,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,24.8797,-1,-1,40.6647,20000,0,[,],[,],[,p29;],
p30,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,23.9792,-1,-1,42.0559,20000,0,[,],[,],[,p30;],
p31,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,21.8632,-1,-1,40.9364,20000,0,[,],[,],[,p31;p3951;],
p32,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,27.037,-1,-1,41.817,20000,0,[,],[,],[,p32;],
p33,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,23.8537,-1,-1,42.9541,20000,0,[,],[,],[,p33;],
p34,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,25.7294,-1,-1,43.7091,20000,0,[,],[,],[,p34;p5780;],
p35,4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,27.55,-1,-1,44.7781,20000,0,[,],[,],[,p35;],
p36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,25.3969,-1,-1,42.1628,20000,0,[,],[,],[,p36;],
p37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,18.1108,-1,-1,42.6166,20000,0,[,],[,],[,p37;p3244;],
p38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,23.9165,-1,-1,42.5579,20000,0,[,],[,],[,p38;],
p39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,24.1247,-1,-1,42.753,20000,0,[,],[,],[,p39;p9991;],
p40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,24.96,-1,-1,44.6596,20000,0,[,],[,],[,p40;],
p41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,20.199,-1,-1,43.1278,20000,0,[,],[,],[,p41;p1141;p9588;p10600;p13384;],
p42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,31.6386,-1,-1,43.3487,20000,0,[,],[,],[,p42;],
p43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,24.0624,-1,-1,43.0268,20000,0,[,],[,],[,p43;],
p44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,26.7021,-1,-1,42.8002,20000,0,[,],[,],[,p44;],
p45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,25.1794,-1,-1,41.9048,20000,0,[,],[,],[,p45;],
p46,4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,22.7156,-1,-1,42.5848,20000,0,[,],[,],[,p46;],
p47,4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,28.4956,-1,-1,42.2342,20000,0,[,],[,],[,p47;],
p48,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,25.2982,-1,-1,42.2636,20000,0,[,],[,],[,p48;],
p49,3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,27.074,-1,-1,44.3223,20000,0,[,],[,],[,p49;],
p50,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,28.1247,-1,-1,44.7535,20000,0,[,],[,],[,p50;p15485;],
p51,3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,24.1454,-1,-1,43.4146,20000,0,[,],[,],[,p51;],
p52,8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,29.5973,-1,-1,44.5917,20000,0,[,],[,],[,p52;],
p53,2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,25.9422,-1,-1,44.0411,20000,0,[,],[,],[,p53;],
p54,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,26.5707,-1,-1,42.4121,20000,0,[,],[,],[,p54;],
p55,5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,28.0535,-1,-1,43.2659,20000,0,[,],[,],[,p55;],
p56,4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,28.0535,-1,-1,42.6526,20000,0,[,],[,],[,p56;],
p57,1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,23,-1,-1,41.5705,20000,0,[,],[,],[,p57;],
p58,2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,24.1454,-1,-1,41.3967,20000,0,[,],[,],[,p58;],
p59,5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,26.6271,-1,-1,41.1266,20000,0,[,],[,],[,p59;],
p60,3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,25.1197,-1,-1,42.4152,20000,0,[,],[,],[,p60;],
p61,8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,30.3809,-1,-1,41.3245,20000,0,[,],[,],[,p61;],
p62,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,27.2947,-1,-1,41.0868,20000,0,[,],[,],[,p62;],
p63,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,24.8596,-1,-1,41.1498,20000,0,[,],[,],[,p63;],
p64,3,9,4,7,3,6,7,10,6,7,6,7,2,8,9,10,27.7128,-1,-1,40.8299,20000,0,[,],[,],[,p64;],
p65,3,2,4,3,2,6,10,4,5,10,9,5,2,9,3,6,23.5584,-1,-1,41.3356,20000,0,[,],[,],[,p65;],
p66,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,30.133,-1,-1,46.763,20000,0,[,],[,],[,p66;],
p67,2,6,4,4,1,8,15,1,5,6,11,8,0,8,0,8,27.1477,-1,-1,46.0712,20000,0,[,],[,],[,p67;],
p68,7,11,5,6,3,6,7,5,4,7,4,7,5,8,5,7,25.3574,-1,-1,44.9337,20000,0,[,],[,],[,p68;],
p69,2,4,3,3,2,5,7,4,6,6,6,11,3,8,4,10,23.4521,-1,-1,43.1072,20000,0,[,],[,],[,p69;],
p70,1,4,3,3,1,7,7,2,9,11,6,8,1,8,5,8,24.3721,-1,-1,42.758,20000,0,[,],[,],[,p70;],
p71,3,4,4,3,1,5,13,3,6,12,9,4,1,11,1,5,26.0576,-1,-1,44.7517,20000,0,[,],[,],[,p71;],
p72,4,10,7,8,6,7,10,2,3,6,9,8,8,11,1,8,29.2916,-1,-1,44.8539,20000,0,[,],[,],[,p72;],
p73,3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6,17.2627,-1,-1,52.7531,20000,0,[,],[,],[,p73;],
p74,2,2,3,3,2,8,8,6,1,5,6,9,2,9,5,10,23.388,-1,-1,42.6687,20000,0,[,],[,],[,p74;],
p75,9,10,7,14,6,8,7,4,2,12,6,8,3,9,13,6,33.6749,-1,-1,42.4059,20000,0,[,],[,],[,p75;],
p76,4,5,6,7,5,9,10,3,2,8,7,7,3,10,8,6,26.7582,-1,-1,41.821,20000,0,[,],[,],[,p76;],
